1 sunny
in S S1
in S S2
in S S3
in L L1
in M M1
in M M2
in S S4
in M M3
in L L2
in L L3
in L L4
in L L5
in L L6
in S S5
in L L7
in L L8
in M M4
in M M5
in M M6
in S S6
in L L9
in L L10
in L L11
end
done
3 rainy
in S S1
in S S2
in S S3
in L L1
in M M1
in S S4
in S S5
in S S6
in L L2
in L L3
in S S7
in L L4
in M M2
in L L5
in M M3
in M M4
in L L6
in M M5
in M M6
in L L7
in S S8
in L L8
in M M7
in S S9
in L L9
in S S10
in S S11
in S S12
in M M8
in M M9
in M M10
in M M11
in S S13
in S S14
in L L10
in S S15
in S S16
in M M12
in M M13
in L L11
in L L12
in S S17
in S S18
in M M14
in M M15
in L L13
in L L14
in S S19
in M M16
in L L15
in S S20
in M M17
in S S21
in S S22
in S S23
in L L16
in S S24
in S S25
in S S26
in M M18
in S S27
in S S28
in L L17
in L L18
in L L19
in L L20
in M M19
in M M20
in L L21
in L L22
in L L23
in M M21
in S S29
in M M22
in S S30
in L L24
in L L25
in L L26
in M M23
in S S31
in M M24
in M M25
in M M26
in M M27
in M M28
in S S32
in M M29
in M M30
in L L27
in L L28
in M M31
in S S33
in S S34
in S S35
in M M32
in L L29
in L L30
in M M33
in S S36
in M M34
in L L31
in M M35
in L L32
in M M36
in S S37
in S S38
in L L33
in S S39
end
done
1 sunny
in L L1
in M M1
in S S1
in L L2
in L L3
in M M2
in M M3
in L L4
in S S2
in S S3
in S S4
in S S5
in M M4
in L L5
in S S6
in L L6
in S S7
in S S8
in S S9
in M M5
in L L7
in M M6
in M M7
end
done
2 sunny
in S S1
in S S2
in S S3
in S S4
in L L1
in S S5
in M M1
in L L2
in S S6
in L L3
in L L4
in M M2
in L L5
in L L6
in S S7
in L L7
in S S8
in L L8
in L L9
in M M3
in M M4
in S S9
in L L10
in L L11
in M M5
in L L12
in L L13
in S S10
in L L14
in L L15
in L L16
in M M6
in S S11
in L L17
in M M7
in M M8
in M M9
in L L18
in L L19
in S S12
in S S13
in L L20
in L L21
in S S14
in M M10
in M M11
in L L22
in L L23
in S S15
in M M12
in S S16
in S S17
in L L24
in L L25
end
done
2 sunny
in L L1
in M M1
in S S1
in M M2
in M M3
in S S2
in L L2
in M M4
in L L3
in S S3
in M M5
in S S4
in L L4
in M M6
in L L5
in S S5
in M M7
in L L6
in S S6
in M M8
in L L7
in L L8
in L L9
in L L10
in L L11
in M M9
in S S7
in S S8
in M M10
in M M11
in M M12
in L L12
in M M13
in S S9
in L L13
in L L14
in S S10
in L L15
in S S11
in S S12
in M M14
in L L16
in M M15
in S S13
in S S14
in S S15
in S S16
in M M16
in L L17
in L L18
in L L19
in M M17
in S S17
end
done
3 sunny
in S S1
in S S2
in S S3
in M M1
in L L1
in M M2
in S S4
in L L2
in L L3
in L L4
in L L5
in S S5
in L L6
in M M3
in L L7
in M M4
in L L8
in M M5
in S S6
in S S7
in L L9
in L L10
in M M6
in S S8
in M M7
in S S9
in M M8
in L L11
in S S10
in M M9
in S S11
in L L12
in L L13
in S S12
in L L14
in L L15
in L L16
in L L17
in S S13
in L L18
in S S14
in S S15
in M M10
in M M11
in L L19
in M M12
in L L20
in S S16
in M M13
in L L21
in S S17
in S S18
in S S19
in S S20
in S S21
in S S22
in M M14
in L L22
in S S23
in L L23
in L L24
in S S24
in M M15
in M M16
in L L25
in L L26
in M M17
in L L27
in M M18
in M M19
in M M20
in L L28
in L L29
in S S25
in M M21
in L L30
end
done
3 sunny
in L L1
in M M1
in S S1
in S S2
in M M2
in L L2
in S S3
in L L3
in S S4
in M M3
in L L4
in S S5
in L L5
in M M4
in L L6
in M M5
in L L7
in L L8
in M M6
in L L9
in S S6
in L L10
in L L11
in L L12
in S S7
in M M7
in S S8
in M M8
in S S9
in M M9
in S S10
in L L13
in L L14
in M M10
in L L15
in L L16
in M M11
in L L17
in L L18
in S S11
in S S12
in L L19
in L L20
in M M12
in M M13
in L L21
in S S13
in S S14
in S S15
in L L22
in L L23
in L L24
in L L25
in M M14
in L L26
in M M15
in S S16
in S S17
in M M16
in M M17
in L L27
in L L28
in M M18
in L L29
in L L30
in L L31
in L L32
in L L33
in S S18
in L L34
in M M19
in L L35
in L L36
in L L37
in L L38
in M M20
in M M21
in S S19
in L L39
in L L40
in L L41
in S S20
in L L42
in S S21
in L L43
in M M22
in L L44
in M M23
in S S22
in M M24
in L L45
in L L46
in M M25
in M M26
in L L47
in L L48
in S S23
in M M27
in M M28
in L L49
in M M29
in S S24
in M M30
in M M31
end
done
5 sunny
in S S1
in M M1
in L L1
in L L2
in M M2
in S S2
in S S3
in S S4
in M M3
in M M4
in M M5
in M M6
in L L3
in M M7
in M M8
in S S5
in S S6
in L L4
in L L5
in M M9
in L L6
in L L7
in S S7
in L L8
in S S8
in L L9
in S S9
in S S10
in S S11
in L L10
in S S12
in S S13
in M M10
in L L11
in L L12
in M M11
in L L13
in L L14
in L L15
in M M12
in L L16
in S S14
in M M13
in M M14
in S S15
in S S16
in L L17
in L L18
in S S17
in S S18
in M M15
in S S19
in S S20
in S S21
in S S22
in S S23
in L L19
in M M16
in S S24
in S S25
